disease	efo_iri
hdl cholesterol particle number	Orphanet_425
rim area	EFO_0000516
abnormal findings on examination of urine	N/A
chronic bronchitis	EFO_0006505
waist-hip ratio	N/A
obesity (body mass index (bmi))	EFO_0001073
apob assay lipoprotein fraction concentration	N/A
myopia	HP_0000545
conduct disorders	EFO_0004216
selenium resistance	N/A
fasting c-reactive protein (crp) (ng/ml) in children	N/A
abnormal involuntary movement scale	EFO_0004280
estradiol levels	EFO_0000305
prostate cancer (non-advanced prostate cancer)	EFO_0000673
long-term response to lithium treatment of bipolar disorder with the retrospective criteria of long-term treatment response scale	N/A
high molecular weight adiponectin levels in plasma in young onset hypertensives	EFO_0000589
peptic ulcers	HP_0004398
prostate cancer	EFO_0000673
airway responsiveness in chronic obstructive pulmonary disease	N/A
atypical cytochrome p450 3a4 (cyp3a4) enzyme activity	N/A
cutaneous basal cell carcinoma (skin cancer)	EFO_0004193
positivity for znt8wa in type 1 diabetes	EFO_0001359
pulse rate	HP_0001649
hip osteoarthritis (females)	EFO_0002506
soluble e-selectin levels	EFO_0000400
retinopathy in non-diabetics	EFO_0003839
ldl-cholesterol in genotype 1 chronic hepatitis c virus  (hcv)	N/A
longevity in long-living individuals	EFO_0004300
educational attainment (females)	N/A
premature death	GO_0007568
"mean cell volume (mcv), monocyte count, mean cell hemoglobin (mch), platelet count (plt), hematocrit (hct)"	EFO_0005803
serum transferrin	N/A
cerebrospinal fluid (csf) tau	N/A
"type 2 diabetes, hypertension, coronary artery disease (cad), combined case analysis"	EFO_1000896
neurological disorders due to brain damage	EFO_0000000
il-15 secretion from dendritic cells after mycobacterium tuberculocosis treatment	Orphanet_3389
bicuspid aortic valve	HP_0001654
melanoma	EFO_0000756
platelet aggregation in response to adp 3um/2um	N/A
gastroparesis	EFO_1000948
rheumatoid factor-negative polyarticular juvenile idiopathic arthritis	EFO_0002609
adriacin-induced neutropenia/leukopenia in cancer patients	N/A
agreeableness among centenarians	N/A
serum free t4 levels	HP_0000820
primary sclerosing cholangitis	EFO_0004268
lung cancer with family history	EFO_0001071
blond vs. brown hair color	EFO_0003924
vincristine-induced peripheral neuropathy in acute lymphoblastic leukemia	EFO_0000000
cerebrospinal p-tau181p levels	N/A
extraversion among centenarians	N/A
dermatomycoses	N/A
response to dabigatran etexilate treatment	N/A
radiation response	N/A
serum metabolites	N/A
endoxifen sentivity (10 um)	N/A
rheumatoid factor positivity in rheumatoid arthritis	EFO_0000685
"cognitive performance, boston naming test"	N/A
obesity and osteoporosis	EFO_0003882
radiation-related thyroid cancer	EFO_0003841
response to inhaled corticosteroid treatment in asthma (percentage change of fev1)	N/A
alcohol consumption	EFO_0004329
"osteoarthrosis; localized, secondary"	EFO_0002506
antidepressant efficacy in major depressive disorder improvement after 12 weeks of treatment	N/A
schizophrenia (inflammation and infection response interaction)	EFO_0000692
circulating testosterone levels in non-postmenopausal hormone users	EFO_0001379
osteoprotegerin	EFO_0003882
"myocardial infarction (mi), sudden cardiac arrest in patients with coronary artery disease (cad)"	EFO_0000612
phosphorus levels	HP_0002148
knee osteoarthritis (females)	EFO_1000786
ankylosying spondylitis	EFO_0003898
chronic mucus hypersecretion	HP_0002202
adiponectin levels (male)	EFO_0000589
percent cell survival after 40 umol/l carboplatin	N/A
gait rhythm	N/A
polyneuropathy in diabetes	EFO_0003100
smooth-surface caries	EFO_0003819
ovarian cancer (brca1-carriers)	EFO_0001075
tourette syndrome	EFO_0004895
aspartate aminotransferase (ast)	EFO_0001421
binge eating behaviour in bipolar disorder	EFO_0005203
age-related macular degeneration (stage 5 armd)	EFO_0001365
irritable bowel disorder	EFO_0000555
recurrent early onset major depressive disorder (females)	EFO_0003761
"nicotine dependence (smoking), current smokers vs former smokers"	EFO_0003768
cerebrospinal fluid levels of total tau protein (t-tau)	N/A
urine alubumin	EFO_0004285
nontoxic multinodular goiter	EFO_1001062
&beta;2-glycoprotein i (&beta;2-gpi) plasma levels	EFO_0002689
irritable mania vs elated mania	EFO_0000289
anthracycline-induced cardiotoxicity in childhood cancer	EFO_0000000
esophageal adenocarcinoma	EFO_0002916
bone density (estimated by t-score at distal radius)	N/A
follicle stimulating hormone	HP_0008222
"pure tone average (0.5,1.0,2.0 khz)"	N/A
optic nerve degeneration in primary open angle glaucoma (cup-to-disc ratio)	N/A
cerebrospinal fluid levels of alzheimer's disease-related proteins	EFO_0000249
response to tocilizumab for the treatment of rheumatoid arthritis (change in disease activity score)	N/A
factor xiii antigen	Orphanet_331
obesity in adult survivors of childhood cancer exposed to cranial radiation	EFO_0001073
breast cancer (survival)	N/A
social anxiety (arbq) in children	EFO_0006788
optic cup area	N/A
successful aging versus alzheimer's disease	EFO_0003925
eating disorders (purging via substances)	N/A
"amyotrophic lateral sclerosis (als), limb onset"	EFO_0000253
genetic generalized epilepsis	EFO_0000474
fasting serum igfbp-3 (ng/ml) in children	N/A
homocysteine	EFO_0003914
cardiac repolarization	EFO_0004269
"lung function, forced vital capacity (fvc)"	EFO_0003818
ldl cholesterol exam 1 values	HP_0003124
methotrexate phramacokinetics (acute lymphoblastic leukemia)	EFO_0000000
serum butyrylcholinesterase activity	EFO_0000589
fat body mass	EFO_0001073
left ventricular hypertrophy (lvh)	EFO_0003896
response to tocilizumab for the treatment of rheumatoid arthritis (change in disease activity score measure at week 16)	N/A
menopause (age at onset)	N/A
brain glutamate concentrations in multiple sclerosis (low neurodegeneration group)	EFO_0003885
cystatin c in serum	HP_0000083
serum metabolite (mass spec peak: 114.068 m/z)	N/A
acute insulin response	EFO_0002614
thyrotoxic hypokalemic periodic paralysis in male patients with graves' disease	Orphanet_681
surfactant protein d levels in patients with chronic obstructive pulmonary disease (copd)	EFO_0000341
fetal hemoglobin	EFO_0004272
extraversion (male)	HP_0012075
"bipolar disorder, combined control dataset"	EFO_0000289
adenoma (female)	EFO_0000232
serum high molecular weight adiponectin	EFO_0000589
t-peak to t-end interval	EFO_0004269
serum dihydrotestosterone level in dutasteride treatment group	EFO_0001379
urinary albumin excretion	EFO_0004285
pityriasis	N/A
serum selenium concentrations	EFO_1001067
male fertility (family size)	EFO_0004248
platelet rich plasma (prp) epinephrine (epi)-lta 10 um	N/A
nephropathy	EFO_0003086
facial morphology	HP_0000324
helicobacter pylori seroprevalence	EFO_1000961
pseudomonal pneumonia	EFO_0007499
blood soluble e-selectin levels (in diabetic females)	EFO_0000400
"asthma, early onset persistant"	EFO_0000270
interleukin-6 (il-6) levels	GO_0006954
breast cancer (prognosis)	EFO_0000305
carotenoid and tocopherol levels	EFO_0005878
maternal imprinting effects on cleft palate	HP_0000175
pulmonary function	EFO_0003818
self-reported allergy	EFO_0003785
cd40 ligand in plasma	EFO_0000540
response to antipsychotic therapy (extrapyramidal side effects)	N/A
hdl cholesterol medium lipoprotein fraction concentration in fasting sample	N/A
beta-amyloid peptide (abeta1-42) in cerebrospinal fliud in controls	EFO_0000249
psychotic disorder	EFO_0000677
systemic sclerosis (limited cutaneous cases)	EFO_0000717
eosinophilia	HP_0001880
idiopathic membranous nephropathy	EFO_0004254
pediatric eosinophilic esophagitis	EFO_0004232
myocardial infarction	EFO_0000612
insulin resistance/response	EFO_0002614
celiac disease and rheumatoid arthritis	EFO_0000685
large artery atherosclerosis	HP_0002634
iron deficiency (body iron)	HP_0001891
response to hepatitis c treatment	N/A
generalized aggressive periodontitis	EFO_0000649
type 1 diabetes autoantibodies	EFO_0001359
aspartate aminotransferase	EFO_0001421
platelet thrombus as measured by pfa-100cola closure time upon shear stress	HP_0004936
citalopram response in major depressive disorder (quick inventory of depressive symptoms: depressed affect factor score)	N/A
information processing speed (inspection time)	EFO_0003925
fasting serum total t4 (ug/dl) in children	N/A
l-arginine levels	EFO_0000319
asthma (exacerbation)	EFO_0000270
scaling relationship between occipital and total cortical surface area	N/A
alcohol dependence (age at onset)	EFO_0003829
adverse response to chemotherapy (neutropenia/leucopenia) (cyclophosphamide)	EFO_0000000
lupus nephritis in systemic lupus erythematosus	EFO_0005761
urgency urinary incontinence	EFO_0006865
pancreatic cancer	EFO_0003860
femoral neck bone mineral density (bmd) (postmenopausal females)	N/A
hyperopia	HP_0000540
mucous polyp of cervix	N/A
response to interferon beta therapy in multiple sclerosis (responders vs nonresponders)	N/A
lung cancer in former smokers	EFO_0001071
glycan peak 14 in women	GO_0070085
lung cancer (adenocarcinoma) in never-smoking women	EFO_0001071
freckles_ vs.no freckles tans	EFO_0004279
white blood cell count (wbc)	EFO_0004233
implantable cardioverter-defibrillator activation with life-threatening arrhythmias	EFO_0004269
collagen-stimulated platelet aggregation after aspirin and clopidogrel treatment	N/A
other disorders of stomach and duodenum	N/A
"lung function, forced expiratory volume in 1 second (fev1) change in response to inhaled corticosteroids for the treatment of asthma"	N/A
sasang constitution (soeum)	N/A
"combined bone mineral density (bmd) phenotypes, femoral neck bone mineral density, trochanater bone mineral density, lumbar spine bone mineral density"	N/A
major depressive disorder (recurrent)	EFO_0003761
"neutrophil count, white blood cell count (wbc), platelet count (plt), mean cell hemoglobin concentration (mchc), hematocrit (hct)"	EFO_0005803
spontaneous preterm birth (preterm delivery)	EFO_0003917
atrial fibrillation/atrial flutter	EFO_0000275
spatial working memory strategy	EFO_0003925
major depressive disorder (narrow definition) (males)	EFO_0003761
metabolite levels (5-hiaa/ mhpg ratio)	EFO_0000618
weight z-score (sd) in children	N/A
"type 1 diabetes, combined control dataset, gender differentiated"	EFO_0001359
metabolite levels (hva)	EFO_0000618
cognitive ageing	EFO_1001457
serum stearoylcarnitine	EFO_1001121
chronic lymphocytic leukemia outcome in response to chemotherapy (progression free survival)	N/A
internal carotid artery intima media thickness (imt)	EFO_0003781
submaximal exercise heart rate training responses (hr50 training responses)	HP_0001649
salmonella-induced pyroptosis	N/A
diastolic blood pressure (dbp) (mmhg) in children	N/A
sex hormone levels	EFO_0001379
intracerebral hemorrhage	HP_0001342
selective serotonin reuptake inhibitor/serotonin-noradrenaline reuptake inhibitor-induced sexual dysfunction in subjects with major depression	EFO_0000000
baseline acute-phase serum amyloid concentrations	N/A
survival in rectal cancer	N/A
retinol plasma levels	EFO_0005878
atrial septal defect	Orphanet_1478
total bilirubin concentration	HP_0002904
lamotrigine-induced hypersensitivity	EFO_0000000
recurrent major depressive disorder (females)	EFO_0003761
college completion	N/A
infection of the eye	EFO_0000000
antidepressant efficacy in major depressive disorder partial response after 2 weeks of treatment	N/A
body composition	EFO_0001073
early-outgrowth colony-forming units	Orphanet_2442
psoriatic arthritis	EFO_0003778
cardioembolic stroke (lacunar stroke) early age of onset	EFO_0000712
blood pressure change with age in women	EFO_0000537
biomedical quantitative traits	N/A
interferon-alfa (ifn) plus ribavirin treatment-related cytopenia in hepatitis c (week 4 platelet count reduction)	EFO_0000000
primary biliary cirrhosis (antimitochondrial-antibody positive only)	HP_0002613
visual disturbances	DOID_8499
erectile dysfunction in type 1 diabetes	EFO_0004234
platelet rich plasma (prp) arachidonic acid (aa)-secretion 1 mm	N/A
"lung function, mean forced vital capacity (fvc)"	EFO_0003818
perception of the odorant galaxolide	N/A
pancreatitis	EFO_0000278
total ventricular volume	N/A
drug-induced liver injury-all male dili cases and controls	EFO_0004228
hair morphology (curly)	N/A
hemostatic factors and hematological phenotypes	N/A
c-reactive protein levels	N/A
response to citalopram treatment	N/A
sexual dysfunction (ssri/snri-related)	EFO_0004714
waist-to-hip circumference ratio (interaction)	N/A
serum iga levels	HP_0002720
hepatocellular carcinoma susceptibility in chronic hepatitis b virus carriers	EFO_0000182
mean ldl cholesterol	HP_0003124
abnormal findings on radiological exam of musculoskeletal system	EFO_0002461
response to lithium treatment for bipolar disorder	N/A
substance dependence	EFO_0003890
glaucoma (primary angle closure glaucoma)	N/A
hematocrit	N/A
amyloid a levels	N/A
sporadic amyotrophic lateral sclerosis (als) survival	N/A
puberty onset	HP_0000823
t-cell acute lymphoblastic leukemia	N/A
brugada syndrome	Orphanet_130
atrial fibrillation or atrial flutter	EFO_0004269
osteosarcoma	EFO_0000637
urate	EFO_0004274
alkaline phosphatase (alp)	Orphanet_436
body mass index (bmi) (nondiabetic subjects)	EFO_0001073
delirium due to conditions classified elsewhere	EFO_0003890
"nicotine dependence (smoking), smoking relapse"	EFO_0003768
opiate addiction	EFO_0005611
black vs. red hair color	EFO_0003924
fuchs's corneal dystrophy	EFO_0003946
aphasia/speech disturbance	N/A
height (pubertal)	HP_0000823
burns vs. tans	EFO_0004279
disease of tricuspid valve	HP_0001654
factor xiii b subunit	Orphanet_331
pubertal anthropometrics	HP_0000823
cognitive response of healthy volunteers to topiramate treatment as measure by the trailsa cognitive test	EFO_0000000
methotrexate clearance (acute lymphoblastic leukemia)	EFO_0000000
atrial fibrillation	EFO_0000275
visceral adipose tissue to subcutaneous adipose tissue ratio (female)	N/A
baseline brachial artery flow velocity	EFO_0003914
self employment (entrepreneurship)	N/A
paclitaxel-induced neuropathy	EFO_0000000
pc1 (overall hearing ability)	N/A
gallstones	EFO_0004210
benign neoplasm of respiratory and intrathoracic organs	EFO_0000616
nevus count	EFO_0000625
triglyceride change in response to hydrochlorothiazide	EFO_0000000
body mass index (bmi) in non-asthmatic adults	EFO_0001073
coma; stupor; and brain damage	N/A
ct hepatic steatosis	EFO_0003095
valvular heart disease/ heart chambers	N/A
amyotrophic lateral sclerosis (als) with c9orf72 hexanucleotide repeat mutations	EFO_0000253
ejection fraction	EFO_0003777
vldl cholesterol large lipoprotein fraction concentration in fasting sample	N/A
imprinting effects on cleft lip without cleft palate	EFO_0003959
mean fasting blood glucose	N/A
glucose concentration in metabolic syndrome subjects without diabetes	N/A
permanent tooth eruption between ages 6-14 in women	HP_0000706
ventricular septal defect	N/A
serum creatinine estimated glomerular filtration rate (egfr) (females)	HP_0000083
alcohol dependence symptoms	EFO_0003829
entorhinal cortical volume (alzheimer's disease interaction)	N/A
gastric cancer (all types)	EFO_0003897
chemerin levels	N/A
suicide attempts in major depressive disorder	EFO_0004321
inattentive symptoms	N/A
verbal episodic memory	EFO_0003925
survival for non-small cell lung cancer in never smokers	N/A
c-reactive protein (crp)	N/A
corneal dystrophy	Orphanet_34533
menarche and menopause (age at onset)	N/A
caudate volume	N/A
pernicious or b12 deficiency anemia	EFO_0000734
conduct disorder symptom count	EFO_0004216
anorexia nervosa spectrum factor	EFO_0004215
dietary macronutrient intake	EFO_0003939
intracranial volume	EFO_1000992
sickle cell anemia (hemolytic anemia)	Orphanet_232
bone mineral density	N/A
stroke	EFO_0000712
chronic pharyngitis and nasopharyngitis	N/A
ribavirin-induced anemia	EFO_0000000
cerebrospinal fluid (csf) ptau	N/A
all antimetabolite drugs-induced neutropenia/leukopenia in cancer patients	N/A
percentage gas trapping	N/A
magnesium levels	EFO_1001029
lipoproteins	N/A
alpha linoleic acid	N/A
multiple sclerosis or amyotrophic lateral sclerosis	N/A
advanced age-related macular degeneration (choroidal neovascularization) vs. no amd	EFO_0001365
mean corpuscular hemoglobin concentration	EFO_0004272
blood pressure	EFO_0000537
smooth-surface caries in permanent dentition	EFO_0003819
other specified nonpsychotic and/or transient mental disorders	N/A
lewis system lea antigen	EFO_0000513
congenital deformities of feet	N/A
gamma fibrinogen levels	N/A
conduct disorder	EFO_0004216
pituitary hypofunction	EFO_0001380
serum metabolite levels	N/A
astigmatism	HP_0000539
"hypertension, early age of onset"	EFO_0000537
d-dimer levels	N/A
renal sinus fat (male)	EFO_0001073
total cholesterol (exam 1)	HP_0003124
allergic conjunctivitis	EFO_0007141
weight z-score change (sd/y) in children	N/A
postoperative atrial fibrillation in coronary artery bypass grafting surgery	EFO_0000275
coronary heart disease	EFO_0001645
secondary hyperparathyroidism (of renal origin)	EFO_0003086
hand grip strength	N/A
crohn's disease with need for surgery	EFO_0000384
reading or mathematical ability	EFO_0004337
major depressive disorder age at onset<15	EFO_0003761
diastolic/systolic blood pressure	EFO_0000537
esophageal squamous-cell carcinoma (escc)-gene*environment	EFO_1000055
hip cartiladge thickness as measure by mean radiographically measured joint-space width	EFO_1000786
alzheimer's disease (females)	EFO_0000249
response to anti-retroviral therapy (ddi/d4t) in hiv-1 infection (grade 1 peripheral neuropathy)	N/A
familial hypercholesterolemia (ldl receptor mutation present)	EFO_0004911
political preferences (environmentalism)	N/A
albumin/globulin ratio	EFO_0001421
independent stressful life events	N/A
nephrolithiasis	EFO_0004253
circulating tnf-alpha	EFO_0000341
periodontitis (severe chronic periodontitis)	EFO_0006343
lung cancer (non-small cell lung cancer)	EFO_0003060
non-red hair color	EFO_0003924
homocysteine levels	EFO_0003914
plasma carcinoembryonic antigen (cea) levels	N/A
vldl cholesterol total lipoprotein fraction concentration	N/A
survival in colon cancer	N/A
posterior wall thickness in hypertensive families	EFO_0002503
skin m (melanin index by reflectance spectroscopy)	EFO_0003963
height growth in women from ages 6-9	N/A
anterior chamber depth	EFO_0003966
femoral bone neck width (women)	EFO_0003882
lipoprotein-associated phospholipase a2 mass (lp-pla2)	EFO_0000319
asthma (childhood onset)	EFO_0000270
tanning ability (none to deep)	EFO_0004279
platelet count	N/A
usual bedtime (questionnaire)	N/A
age at smoking initiation in chronic obstructive pulmonary disease	EFO_0003768
erectile dysfunction after radiotherapy for prostate cancer	EFO_0004234
sitting height ratio	EFO_0004339
serum phosphorous	HP_0002148
temperament in bipolar disorder (anxious)	EFO_0000289
eye color (3 category color classification)	EFO_0003949
intraocular pressure	EFO_1001069
plasma protein c levels	N/A
type 2 diabetic ketoacidosis	EFO_1000897
prostate biopsy outcome (having a negative prostate biopsy outcome)	EFO_0000673
aids progression	EFO_0000765
freckles	EFO_0003963
epilepsy	EFO_0000474
emphysema-related traits	N/A
factor xiii activity	Orphanet_98878
"nicotine dependence (smoking), smoking initiation age at onset (males)"	EFO_0003768
systemic lupus erythematosus (sle)	EFO_0002690
vitamin b12 (female)	EFO_0000734
parkinson disease and lewy body pathology	EFO_0002508
serum ferritin levels in patients with chronic hepatitis c	N/A
paternal transmission distortion	N/A
cognitive decline	N/A
verbal declarative memory	EFO_0003925
mean entorhinal cortical thickness	N/A
knee osteoarthritis (males)	EFO_0002506
b-hyperdiploid acute lymphoblastic leukemia	EFO_0000220
child behavior checklist dysregulation profile in children with attention deficit/hyperactivity disorder (adhd)	EFO_0003888
"functional impairment in major depressive disorder, bipolar disorder and schizophrenia"	EFO_0000692
ldl cholesterol (mmol/l)	N/A
urinary albumin excretion rate in type 1 diabetes	EFO_0001359
"diastolic blood pressure, hypertension"	EFO_0000537
fearfulness (left amygdala activation)	N/A
disc area	EFO_0000516
alzheimer's disease (males)	EFO_0000249
lean body mass	N/A
serum calcium	EFO_0005769
glycan peak 13	GO_0070085
sleep time	N/A
tmau concentration	N/A
suicidal ideation and behaviour in major depressive disorder (scan suicidality (ssu) score)	EFO_0004320
testicular dysgenesis syndrome	HP_0000133
plasma omega-6 polyunsaturated fatty acid levels (dihomo-gamma-linolenic acid)	N/A
periodontal disease-related phenotypes	EFO_0000649
type 2 diabetes nephropathy	EFO_0000401
left ventricular internal diastolic diameter	EFO_0003777
"nicotine dependence (smoking), lifetime average cigarettes/day in chronic obstructive pulmonary disease (copd)"	EFO_0003768
edema	HP_0000969
lumbar spine bone mineral density (bmd) (postmenopausal females)	N/A
insomnia	N/A
"mean platelet volume (mpv) (fl), log"	N/A
coronary artery calcification (cac) (males)	HP_0004934
borderline personality disorder features	HP_0012075
nicotine dependence (smoking) (ever vs. never smokers)	EFO_0003768
iris color	EFO_0003949
response to tocilizumab for the treatment of rheumatoid arthritis (change in tender joint count measure at week 16)	N/A
waist:height in children	N/A
b-other acute lymphoblastic leukemia	EFO_0000220
inattentive symptom count	EFO_0003888
ankylosing spondylitis (hla-b27 negative)	EFO_0003898
hip circumference (psychosocial stress interaction)	EFO_0001073
methylation near tas2r48 in cerebellum	GO_0006306
severe statin-induced myopathy	HP_0000545
bronchodilator response in asthma (inhaled corticosteroid treatment interaction)	N/A
selenium levels	EFO_1001067
cerebrospinal fluid levels of phosphorylated tau protein (p-tau181p) (mild cognitive impairment subjects)	N/A
amyloid beta (ab42/ab40)	EFO_0000249
esophageal squamous cell cancer (length of survival)	N/A
alcohol behavior (max drinks)	EFO_0003829
colorectal cancer (males)	EFO_0000365
acute lymphoblastic leukemia (childhood)	EFO_0000220
secondary malignancy of bone	N/A
tandem gait	N/A
suicide attempts in bipolar disorder	EFO_0004321
hostility (left amygdala activation)	N/A
symptoms involving digestive system	N/A
eye color traits	EFO_0003949
allergic rhinitis in non-asthmatics	N/A
bipolar disorder (mania)	EFO_0000289
primary biliary cirrhosis	HP_0002613
longevity (time to mortality)	EFO_0004300
idl total lipoprotein fraction concentration	N/A
maximal oxygen uptake response	EFO_0000589
amyotrophic lateral sclerosis (als) without c9orf72 hexanucleotide repeat mutations	EFO_0000253
psychosis and alzheimer's disease	EFO_0000677
schizophrenia (treatment resistant)	EFO_0000692
weight (females)	EFO_0001073
caudate volume (average bilateral caudate)	N/A
attention deficit hyperactivity disorder (combined symptoms)	EFO_0003888
personality disorders	HP_0012075
glaucoma (exfoliation)	EFO_0004235
morbid obesity	EFO_0001074
non-small cell lung cancer (survival)	N/A
advanced age-related macular degeneration (choroidal neovascularization)	EFO_0001365
alcohol craving with or without dependence	EFO_0003829
bronchial asthma in combination with atopic dermatitis and/or allergic rhinitis	EFO_0000270
ldl cholesterol mean particle size lipoprotein fraction concentration	N/A
odorant perception	HP_0000458
response to simvastatin treatment (pcsk9 protein level change)	N/A
glycemic traits	EFO_0000400
birth weight and gestational age	EFO_0004344
hdl cholesterol lipoprotein fraction concentration by nmr	N/A
adverse response to lamotrigine and phenytoin	EFO_0000000
suicide attempts in mood disorder patients	EFO_0004321
early childhood aggressive behavior	N/A
osteoperotic fracture	N/A
suicidal ideation in depression or bipolar disorder	EFO_0004320
"multiple cancers (lung cancer, gastric cancer, and squamous cell carcinoma)"	EFO_0000616
metabolic side effects to antipsychotic drugs (olanzapine effect on hemoglobin a1c (hba1c))	N/A
platelet count (plt)	N/A
brain volume (females)	N/A
contact dermatitis and other eczema due to plants [except food]	EFO_0005319
escitalopram or nortriptyline treated major depressive disorder	N/A
percentage of c4bpbeta chain lacking isoforms	HP_0004936
serum dihydrotestosterone (dht) level	EFO_0001379
iron levels	N/A
drug-induced liver injury-all mixed injury dili cases	EFO_0004228
"drug-induced liver injury-all dili cases with severity scored as moderate-hospitalized, severe, or fatal"	EFO_0004228
intraocular pressure (average maximum)	EFO_0000516
medically attended wheezing after influenza vaccination	EFO_0000000
hba2 and f cell levels	EFO_0004272
brain volume	N/A
stroke (ischemic)	EFO_0000712
forced expiratory volume in 1 second	EFO_0003818
economic and political preferences (immigration/crime)	N/A
triglycerides (mean)	EFO_0004211
anticoagulant levels	N/A
normalized brain volume	N/A
skin colour saturation	EFO_0003784
urinary albumin-to-creatinine ratio	EFO_0004285
adamts13 activity	N/A
hdl cholesterol total lipoprotein fraction concentration	N/A
egg allergy	EFO_0007248
epithelial ovarian cancer survival	N/A
"brain mri, total cerebral brain volume"	N/A
metabolites in glutathione and glycine biosynthesis pathways	N/A
hdl cholesterol mean size lipoprotein fraction concentration in fasting sample	N/A
lumbar spine bone mineral density (bmd)	N/A
testicular germ cell tumor (testicular cancer)	EFO_0004281
altered mental status	EFO_0000677
l2-l4 spine bone mineral density (bmd)	N/A
white matter hyperintensity	HP_0002352
c9/c10:2  concentration	N/A
proximal colon cancer	EFO_0004288
calcium levels	EFO_0005769
change in depression severity with antidepressants (nri or sri)	N/A
hdl cholesterol	Orphanet_425
periodontitis (moderate chronic periodontitis)	EFO_0006343
lymphocyte counts	HP_0100827
mesial temporal lobe epilepsy with hippocampal sclerosis	EFO_0000474
sasang constitution (soyang)	N/A
adp-stimulated platelet aggregation after clopidogrel	N/A
testicular hypofunction	N/A
interleukin-18 levels	GO_0006954
erectile dysfunction and prostate cancer treatment	EFO_0004234
allergic rhinitis (females)	N/A
response to tocilizumab for the treatment of rheumatoid arthritis (change in swollen joint count) in rf individuals	N/A
plasma omega-6 polyunsaturated fatty acid levels	N/A
bmi z-score (sd) in children	N/A
cholelithiasis-related traits in sickle cell anemia	Orphanet_232
e-selectin levels	EFO_0000400
total protein	N/A
"combined bone mineral density (bmd) phenotypes, femoral neck bone mineral density, trochanater bone mineral density, lumbar spine bone mineral density, gender differentiated in females"	N/A
alkaline phosphatase (alp) in plasma	EFO_0001421
primary tooth development (number of teeth)	Orphanet_99797
total bilirubin	HP_0002904
chronic hepatitis b	EFO_0004197
type 2 diabetes family history	EFO_0001360
pc ae c38:1/pc aa c28:1	N/A
coronary artery stenosis-left anterior descending artery	EFO_1000882
n-acu concentration	N/A
waist-to-hip ratio adjusted for body mass index	N/A
economic and political preferences	N/A
amyotrophic lateral sclerosis (sporadic)	EFO_0000253
exudative age-related macular degeneration	EFO_0001365
attention function in attention deficit hyperactive disorder	EFO_0003888
total cholesterol	HP_0003124
staphylococcus aureus infection	EFO_0000000
sporadic creutzfeldt-jakob disease	EFO_0004226
visceral adipose tissue/subcutaneous adipose tissue ratio	N/A
left ventricular internal dimension (lv internal dimension) in hypertensive families	EFO_0002503
"crohn's disease, gender differentiated"	EFO_0000384
skin naphthyl-keratin adduct (nka) levels in workers exposed to naphthalene	EFO_0000000
hiv-1 mother-to-child transmission (intrapartum transmission)	EFO_0000764
categorical	N/A
major depressive disorder age at onset>25	EFO_0003761
serum lipase activity	EFO_0000342
fibrinogen	N/A
advanced age-related macular degeneration (geographic atrophy)	EFO_0001365
blood glucose (mmol/l)	N/A
sprains and strains	N/A
anthropometric traits in newborns	EFO_0004302
multiple sclerosis risk in hla carriers versus non-carriers	EFO_0003885
protein deposition (kcal/d) in children	N/A
stroke (pediatric stroke)	EFO_0000712
intracranial aneurysm (male)	EFO_0003870
myopia and refractive error (spherical equivalent measures)	HP_0000483
alzheimer's disease	EFO_0000249
colorectal cancer (familial cases)	EFO_0000365
colorectal cancer vs. adenoma controls (females)	EFO_0000365
apoa1 assay lipoprotein fraction concentration	N/A
hoarding traits	N/A
non-hodgkins lymphoma	EFO_0000574
complication of amputation stump	N/A
other specified peripheral vascular diseases	EFO_0003875
pulmonary function (interaction)	EFO_0003818
coronary artery disease (cad) (non-myocardial infarction cases)	EFO_0000378
"breast cancer (estrogen-receptor negative, progesterone-receptor negative, and human epidermal growth factor-receptor negative)"	EFO_0000305
brachial artery hyperemic flow velocity	EFO_0003914
carotid atherosclerosis (cad) in hiv-infected men (common carotid intima media thickness (imt))	EFO_0003781
oligoclonal band status in multiple sclerosis patients	EFO_0003885
"hypertension, combined control dataset, gender differentiated"	EFO_0000537
cardiovascular heart disease in diabetics	EFO_0000319
polycystic ovary syndrome with irregular menses	EFO_0000660
major depressive disorder (citalopram treatment response (% change in qids-sr from baseline))	N/A
bone mineral density (bmd) (g/cm2) (in children)	N/A
body mass index (bmi) (females)	EFO_0001073
psoriasis and crohn's disease combined	EFO_0005140
eye color (chs2)	EFO_0003949
ldl cholesterol total lipoprotein fraction concentration in fasting sample	N/A
focal segmental glomerulosclerosis	EFO_0004236
failure to thrive	HP_0001508
common variable immunodeficiency (low igm)	Orphanet_1572
ulcerative colitis	EFO_0000729
change in blood pressure to methylphenidate treatment of attention-deficit/hyperactivity disorder	EFO_0000537
longitudinal change in brain amyloid plaque burden	EFO_0000249
plasma progranulin levels	EFO_0003096
lp (a) levels	HP_0010980
schizophrenia (age at onset)	EFO_0000692
n-terminal signal peptide of pro-b-type natriuretic peptide blood level	EFO_0003144
chagas cardiomyopathy in tripanosoma cruzi seropositivity	EFO_0005529
hypertension (young onset)	EFO_0000537
chronic ischemic heart disease	N/A
disc degeneration (lumbar)	HP_0008419
ischemic stroke early age of onset	EFO_0000712
alcohol consumption (drinkers only)	EFO_0004329
linear cup-to-disc ratio	EFO_0000516
