Sample name	Sex	Biosample ID	Population code	Population name	Superpopulation code	Superpopulation name	Data collections
HG02105	female	SAME123873	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02486	male	SAME1839558	ACB	African-Caribbean	FR	African	1000 Genomes phase 3 release
HG02058	male	SAME125319	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02129	male	SAME1839724	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes phase 3 release
HG02493	male	SAME1839704	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02060	female	SAME1839679	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02131	male	SAME1839896	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02190	female	SAME125259	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01935	male	SAME123588	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02218	female	SAME1839820	IBS	Spanish	EUR	European	1000 Genomes on GRCh38
HG02215	female	SAME123904	GBR	British	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG01942	female	SAME124150	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02220	female	SAME123715	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02222	female	SAME123717	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01947	male	SAME124155	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02225	female	SAME1839576	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02234	male	SAME1839367	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG01954	female	SAME123980	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02232	female	SAME1839374	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02239	female	SAME1839420	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02015	male	SAME123447	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes phase 3 release
HG02237	female	SAME123519	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02253	male	SAME1839347	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02027	male	SAME125318	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes phase 3 release
HG02383	male	SAME1840019	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02258	male	SAME1839322	ACB	African-Caribbean	FR	African	1000 Genomes phase 3 release
HG02281	male	SAME1840094	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02388	male	SAME1839997	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02260	female	SAME1839139	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02286	female	SAME122912	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02390	male	SAME1839788	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02265	male	SAME1839117	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02293	female	SAME1839934	PEL	Peruvian	MR	American	1000 Genomes phase 3 release
HG02395	male	SAME1839754	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02272	female	SAME1840314	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02298	female	SAME1839913	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02345	female	SAME1839081	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02304	male	SAME1839548	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02301	female	SAME124280	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02364	male	SAME1840125	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02309	female	SAME1839525	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02255	male	SAME1839337	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02371	male	SAME1840180	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02316	male	SAME1839661	ACB	African-Caribbean	FR	African	1000 Genomes phase 3 release
HG02262	male	SAME1839128	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02307	male	SAME1839535	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02323	male	SAME1839440	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02267	female	SAME1839106	PEL	Peruvian	MR	American	
HG02314	male	SAME1839674	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02330	male	SAME1839237	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02274	male	SAME1840306	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02321	female	SAME1839446	ACB	African-Caribbean	FR	African	1000 Genomes phase 3 release
HG02277	male	SAME1840370	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02279	male	SAME1840362	PEL	Peruvian	MR	American	1000 Genomes phase 3 release
HG02256	female	SAME1839332	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02284	male	SAME1840168	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02224	male	SAME1839579	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02275	female	SAME1840376	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02291	male	SAME1839948	PEL	Peruvian	MR	American	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02229	female	SAME1839649	IBS	Spanish	EUR	European	1000 Genomes phase 3 release
HG02155	female	SAME124795	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02429	male	SAME1839021	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02231	male	SAME1839376	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02179	female	SAME124415	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02436	male	SAME1839164	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02236	male	SAME123520	IBS	Spanish	EUR	European	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02181	female	SAME123206	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02450	female	SAME1840144	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02250	male	SAME1839268	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02186	female	SAME125039	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02455	male	SAME1840198	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02471	female	SAME1839741	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02605	female	SAME1840277	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02347	male	SAME1839072	PEL	Peruvian	MR	American	1000 Genomes on GRCh38
HG02476	female	SAME1839717	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02612	male	SAME1840394	GWD	Gambian	FR	African	
HG02373	male	SAME124104	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02490	male	SAME1839625	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02624	female	SAME1840259	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02380	male	SAME1840045	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02495	female	SAME1839694	PJL	Punjabi	AS	South Asian	
HG02629	female	SAME1840230	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02385	male	SAME1840006	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02508	female	SAME1839334	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02636	male	SAME1840017	GWD	Gambian	FR	African	
HG02392	male	SAME1839776	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02522	female	SAME1840326	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02643	female	SAME1839785	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02397	male	SAME123308	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02541	male	SAME1840214	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02465	female	SAME1839973	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02405	male	SAME1839398	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38
HG02546	female	SAME1839932	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02477	female	SAME1839710	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02164	female	SAME124209	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02318	female	SAME1839391	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02484	male	SAME1839858	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02169	female	SAME1839233	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38
HG02325	female	SAME1839521	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02489	male	SAME1839546	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02176	female	SAME1839024	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38
HG02332	male	SAME1839315	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02491	female	SAME1839617	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02188	female	SAME122829	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02337	female	SAME1839296	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02408	male	SAME1839461	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02582	male	SAME1839431	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02344	male	SAME1839087	PEL	Peruvian	MR	American	1000 Genomes on GRCh38
HG02410	male	SAME1839207	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02587	female	SAME1839409	GWD	Gambian	FR	African	
HG02351	male	SAME1840284	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02415	female	SAME1839263	PEL	Peruvian	MR	American	1000 Genomes on GRCh38
HG02594	male	SAME1839208	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02356	male	SAME1840261	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02427	female	SAME1839036	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02599	male	SAME1839266	PJL	Punjabi	AS	South Asian	
HG02363	male	SAME1840379	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02439	male	SAME1840297	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02602	male	SAME1840290	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02375	male	SAME1840244	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02667	female	SAME1839384	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02549	female	SAME1839917	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02382	male	SAME1840025	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02679	female	SAME1839471	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02563	male	SAME1839824	GWD	Gambian	FR	African	
HG02419	female	SAME1839244	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02681	male	SAME1839304	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02568	female	SAME1839899	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02433	male	SAME1839175	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02686	male	SAME1839277	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02570	male	SAME1839582	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02445	male	SAME1840341	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02580	female	SAME1839366	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02575	male	SAME1839650	GWD	Gambian	FR	African	
HG02464	male	SAME1839978	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02585	male	SAME1839418	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02676	female	SAME1839491	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02387	male	SAME1839998	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02597	male	SAME1839199	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02683	female	SAME1839298	PJL	Punjabi	AS	South Asian	
HG02394	male	SAME123305	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02600	male	SAME1840302	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02688	female	SAME1839358	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02399	male	SAME1839842	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02547	male	SAME1839930	ACB	African-Caribbean	FR	African	
HG02690	male	SAME1839088	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02402	male	SAME1839412	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02554	male	SAME1840075	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02734	female	SAME1839869	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02407	male	SAME1839464	CDX	Dai Chinese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02559	female	SAME1840052	ACB	African-Caribbean	FR	African	
HG02758	female	SAME1839448	GWD	Gambian	FR	African	
HG02647	male	SAME1839762	GWD	Gambian	FR	African	
HG02561	male	SAME1839838	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02760	female	SAME1839267	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02654	male	SAME1839530	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02573	male	SAME1839567	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02772	female	SAME1839039	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02659	female	SAME1839590	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02496	male	SAME1839688	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02703	female	SAME1840142	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02661	female	SAME1839667	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02511	female	SAME1839150	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02715	male	SAME1839987	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02666	male	SAME1839386	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02523	female	SAME1840322	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes phase 3 release
HG02722	female	SAME1839747	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02700	female	SAME1840159	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02648	male	SAME1839751	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02727	male	SAME1839727	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02717	male	SAME1839976	GWD	Gambian	FR	African	
HG02650	male	SAME1839550	PJL	Punjabi	AS	South Asian	
HG02501	male	SAME1839281	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02724	male	SAME1839740	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02655	female	SAME1839526	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02513	female	SAME1839138	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02729	male	SAME1839715	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02662	female	SAME1839662	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02525	female	SAME1840313	KHV	Kinh Vietnamese	EAS	East Asian	1000 Genomes on GRCh38
HG02731	female	SAME1839886	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02698	male	SAME1839137	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02537	female	SAME1840165	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02678	male	SAME1839477	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02701	male	SAME1840152	PJL	Punjabi	AS	South Asian	
HG02645	male	SAME1839774	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02680	female	SAME1839308	GWD	Gambian	FR	African	
HG02725	female	SAME1839737	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02652	female	SAME1839541	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02685	female	SAME1839286	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02883	male	SAME1840164	GWD	Gambian	FR	African	
HG02657	male	SAME1839600	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02692	female	SAME1839078	PJL	Punjabi	AS	South Asian	
HG02888	female	SAME1840139	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02784	female	SAME1839157	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02697	female	SAME1839142	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02890	male	SAME1839947	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02789	male	SAME1840280	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02584	male	SAME1839425	GWD	Gambian	FR	African	
HG02895	male	SAME1839918	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02791	male	SAME1840342	PJL	Punjabi	AS	South Asian	1000 Genomes phase 3 release
HG02589	female	SAME1839401	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02922	female	SAME1839441	ESN	Esan	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02614	female	SAME1840385	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02596	male	SAME1839201	GWD	Gambian	FR	African	
HG02939	male	SAME1839275	ESN	Esan	FR	African	
HG02621	female	SAME1840187	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02604	female	SAME1840282	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02941	male	SAME1839096	ESN	Esan	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02885	female	SAME1840157	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02611	female	SAME1840401	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02984	male	SAME1840004	GWD	Gambian	FR	African	
HG02892	male	SAME1839935	GWD	Gambian	FR	African	
HG02779	male	SAME1839097	PJL	Punjabi	AS	South Asian	
HG03007	female	SAME1840245	BEB	Bengali	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02897	female	SAME1839910	GWD	Gambian	FR	African	
HG02781	female	SAME1839167	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38
HG03019	female	SAME1840060	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02924	male	SAME1839516	ESN	Esan	FR	African	
HG02786	male	SAME1840292	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03021	male	SAME1839789	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02943	female	SAME1839085	ESN	Esan	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02793	female	SAME1840415	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03026	female	SAME1839714	GWD	Gambian	FR	African	
HG02979	female	SAME1840209	ESN	Esan	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02798	male	SAME1840387	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03033	male	SAME1839566	GWD	Gambian	FR	African	1000 Genomes on GRCh38
HG02981	male	SAME1840024	ESN	Esan	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02623	male	SAME1840182	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03040	female	SAME1839611	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03009	male	SAME1840256	BEB	Bengali	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02628	male	SAME1840238	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03045	male	SAME1839635	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03016	female	SAME1839952	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02630	female	SAME1839963	GWD	Gambian	FR	African	
HG03052	female	SAME1839496	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03023	male	SAME1839797	PJL	Punjabi	AS	South Asian	
HG02635	female	SAME1840023	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03057	male	SAME1839434	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03059	male	SAME1839443	MSL	Mende	FR	African	
HG02642	male	SAME1839792	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02737	female	SAME1839857	PJL	Punjabi	AS	South Asian	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03061	female	SAME1839215	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02806	female	SAME1840079	GWD	Gambian	FR	African	
HG02756	male	SAME1839454	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03066	male	SAME1839324	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02813	male	SAME1839841	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02763	female	SAME1839254	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03073	female	SAME1839019	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02818	female	SAME1839810	GWD	Gambian	FR	African	
HG02768	male	SAME1839235	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03078	male	SAME1839047	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02820	female	SAME1839591	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02770	female	SAME1839049	GWD	Gambian	FR	African	
HG03080	female	SAME1840307	MSL	Mende	FR	African	
HG02837	female	SAME1839422	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02799	female	SAME1840384	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03085	female	SAME1840328	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02558	female	SAME1840057	ACB	African-Caribbean	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02807	male	SAME1840073	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03097	female	SAME1840130	MSL	Mende	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG02572	male	SAME1839570	GWD	Gambian	FR	African	
HG02814	female	SAME1839837	GWD	Gambian	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
HG03100	male	SAME1840003	ESN	Esan	FR	African	1000 Genomes on GRCh38,1000 Genomes phase 3 release
